r	vr
1.2	0.5
1.339	0.4236
1.4679	0.3119
1.5454	0.2056
1.5902	0.0944
1.6013	-0.0189
1.5713	-0.1504
1.5094	-0.2596
1.4157	-0.3618
1.2931	-0.4517
1.1204	-0.5269
0.9584	-0.5423
0.8039	-0.4692
0.6813	-0.1981
0.6749	0.1524
0.7654	0.4201
0.9119	0.5321
1.1011	0.5325
1.253	0.4752
1.3832	0.3909
1.4856	0.2916
1.5655	0.1657
1.5982	0.0534
1.5969	-0.06
1.5618	-0.1721
1.479	-0.2977
1.3744	-0.3962
1.2423	-0.4794
1.0623	-0.5395
0.9	-0.5291
0.7561	-0.409
0.6717	-0.1326
0.6982	0.2673
0.8145	0.4769
0.9705	0.5433
1.1321	0.5243
1.3031	0.4469
1.4238	0.3562
1.5151	0.2534
1.5813	0.1253
1.6017	0.0123
1.5881	-0.1009
1.5408	-0.212
1.4445	-0.3347
1.3294	-0.4287
1.1888	-0.5036
1.0304	-0.5434
0.8439	-0.5015
0.7161	-0.3269
0.6646	-0.0038
0.7156	0.3215
0.8687	0.5145
1.0297	0.5436
1.1881	0.5049
1.35	0.4159
1.4604	0.32
1.5405	0.2142
1.5879	0.1033
1.6007	-0.0288
1.5748	-0.1416
1.5155	-0.2511
1.4242	-0.3541
1.2811	-0.4587
1.1328	-0.5233
0.9712	-0.5436
0.7917	-0.4566
0.6862	-0.2232
0.6715	0.1253
0.7556	0.4049
0.926	0.5359
1.0885	0.5353
1.2417	0.4809
1.3739	0.3982
1.4931	0.2825
1.5615	0.1744
1.5968	0.0624
1.5983	-0.051
1.5571	-0.1818
1.486	-0.2895
1.3837	-0.3889
1.2296	-0.4856
1.075	-0.5374
0.9126	-0.5331
0.7659	-0.424
0.6687	-0.1021
0.6921	0.2438
0.8033	0.4663
0.9577	0.5419
1.1459	0.5201
1.2925	0.4533
1.4152	0.3639
1.5217	0.244
1.5782	0.1341
1.6013	0.0213
1.5904	-0.092
1.535	-0.2215
1.4524	-0.3267
1.3395	-0.4218
1.2006	-0.4987
1.0161	-0.5443
0.8559	-0.5089
0.724	-0.3467
0.6649	-0.0323
0.7244	0.3437
0.8565	0.5078
1.0169	0.5444
1.2013	0.4994
1.3401	0.4229
1.4528	0.328
1.5353	0.2228
1.5905	0.0934
1.6013	-0.0199
1.578	-0.1327
1.5213	-0.2427
1.4148	-0.3627
1.2919	-0.4524
1.1452	-0.5194
0.957	-0.5422
0.8027	-0.468
0.6917	-0.2475
0.6688	0.0978
0.7665	0.4217
0.9133	0.5325
1.0758	0.5377
1.2303	0.4865
1.3842	0.39
1.4864	0.2907
1.5573	0.1832
1.5983	0.0524
1.5968	-0.061
1.5613	-0.1731
1.4928	-0.2812
1.3733	-0.397
1.2411	-0.48
1.0878	-0.5348
0.9253	-0.5364
0.755	-0.4073
0.6714	-0.1296
0.6865	0.2194
0.7923	0.4547
0.972	0.5435
1.1335	0.5239
1.2817	0.4596
1.4247	0.3553
1.5158	0.2524
1.575	0.1429
1.6007	0.0302
1.5878	-0.1019
1.5402	-0.2129
1.46	-0.3187
1.3494	-0.4148
1.1874	-0.5041
1.029	-0.5435
0.868	-0.5155
0.7152	-0.3247
0.6646	-0.0006
0.7165	0.3238
0.8446	0.5003
1.0312	0.5435
1.1894	0.5043
1.33	0.4297
1.4449	0.3359
1.541	0.2133
1.5882	0.1023
1.6016	-0.0109
1.5811	-0.1239
1.5148	-0.2521
1.4233	-0.355
1.3025	-0.4459
1.1314	-0.5237
0.9698	-0.5435
0.8138	-0.4785
0.6978	-0.2709
0.6719	0.1284
0.7566	0.4066
0.9007	0.5284
1.063	0.5398
1.243	0.4803
1.3749	0.3974
1.4794	0.2989
1.562	0.1735
1.597	0.0614
1.5981	-0.052
1.5653	-0.1643
1.4852	-0.2904
1.3827	-0.3897
1.2524	-0.4743
1.1004	-0.532
0.9112	-0.5327
0.7648	-0.4224
0.6747	-0.1565
0.6815	0.1941
0.8045	0.4675
0.9591	0.5421
1.1211	0.5274
1.2937	0.4526
1.4162	0.363
1.5098	0.2609
1.5715	0.1517
1.6013	0.0203
1.5901	-0.093
1.5452	-0.2043
1.4675	-0.3106
1.3384	-0.4226
1.1993	-0.4992
1.0419	-0.5423
0.8545	-0.5081
0.7231	-0.3446
0.6648	-0.0291
0.709	0.3028
0.8579	0.5086
1.0183	0.5443
1.1774	0.509
1.3197	0.4365
1.4536	0.3271
1.5359	0.2219
1.5857	0.1112
1.6012	-0.0209
1.5777	-0.1337
1.5207	-0.2436
1.4316	-0.3472
1.2907	-0.4531
1.1438	-0.5199
0.9827	-0.5443
0.8253	-0.4881
0.6911	-0.2449
0.6691	0.1009
0.7471	0.3905
0.8883	0.5236
1.0772	0.5375
1.2315	0.4859
1.3654	0.4046
1.4871	0.2898
1.5578	0.1822
1.5955	0.0703
1.5993	-0.0431
1.5608	-0.1741
1.492	-0.2821
1.3918	-0.3823
1.2636	-0.4684
1.0863	-0.5351
0.9239	-0.5361
0.7749	-0.4364
0.671	-0.1265
0.6871	0.2221
0.7935	0.4561
0.9463	0.5402
1.1349	0.5235
1.2829	0.4589
1.4075	0.3707
1.5035	0.2692
1.5753	0.142
1.6008	0.0292
1.5922	-0.0841
1.5499	-0.1956
1.4592	-0.3196
1.3483	-0.4156
1.2111	-0.4941
1.0276	-0.5436
0.8666	-0.5148
0.7314	-0.3634
0.6658	-0.0575
0.7173	0.326
0.8459	0.5012
1.0054	0.5447
1.1653	0.5135
1.3311	0.429
1.4458	0.335
1.5306	0.2304
1.5885	0.1013
1.6016	-0.0119
1.5808	-0.1249
1.5264	-0.2351
1.4223	-0.3558
1.3013	-0.4466
1.1561	-0.5158
0.9956	-0.5447
0.8126	-0.4774
0.6971	-0.2683
0.667	0.0729
0.738	0.3733
0.9021	0.5289
1.0644	0.5396
1.22	0.4913
1.3759	0.3966
1.4802	0.298
1.5534	0.1909
1.5937	0.0792
1.598	-0.053
1.5649	-0.1653
1.4986	-0.2738
1.4008	-0.3748
1.2511	-0.4749
1.099	-0.5323
0.9366	-0.5389
0.7637	-0.4207
0.6743	-0.1536
0.6821	0.197
0.7829	0.4436
0.9605	0.5423
1.1225	0.527
1.2719	0.4651
1.3987	0.3782
1.5104	0.2599
1.5719	0.1508
1.6	0.0382
1.5942	-0.0752
1.5446	-0.2052
1.4667	-0.3115
1.3581	-0.4085
1.198	-0.4998
1.0405	-0.5424
0.8789	-0.5207
0.7402	-0.3812
0.6648	-0.026
0.7098	0.3052
0.8341	0.493
0.9925	0.5446
1.1788	0.5085
1.3209	0.4357
