r	ueq	ueff
0.55	0.202835	0.405671
0.57	0.155857	0.311713
0.59	0.114573	0.229147
0.61	0.078251	0.156503
0.63	0.046271	0.092541
0.65	0.018105	0.03621
0.67	-0.006694	-0.013388
0.69	-0.028511	-0.057022
0.71	-0.047678	-0.095355
0.73	-0.06448	-0.12896
0.75	-0.079167	-0.158333
0.77	-0.091955	-0.183909
0.79	-0.103034	-0.206068
0.81	-0.112572	-0.225143
0.83	-0.120714	-0.241427
0.85	-0.12759	-0.25518
0.87	-0.133316	-0.266633
0.89	-0.137994	-0.275989
0.91	-0.141715	-0.28343
0.93	-0.14456	-0.28912
0.95	-0.146603	-0.293205
0.97	-0.147908	-0.295816
0.99	-0.148535	-0.29707
1.01	-0.148537	-0.297074
1.03	-0.147962	-0.295924
1.05	-0.146854	-0.293707
1.07	-0.145251	-0.290503
1.09	-0.143191	-0.286382
1.11	-0.140705	-0.281411
1.13	-0.137824	-0.275649
1.15	-0.134575	-0.26915
1.17	-0.130983	-0.261965
1.19	-0.12707	-0.25414
1.21	-0.122858	-0.245715
1.23	-0.118365	-0.236731
1.25	-0.113611	-0.227222
1.27	-0.108611	-0.217221
1.29	-0.10338	-0.206759
1.31	-0.097932	-0.195864
1.33	-0.09228	-0.18456
1.35	-0.086437	-0.172874
1.37	-0.080413	-0.160825
1.39	-0.074218	-0.148436
1.41	-0.067863	-0.135726
1.43	-0.061356	-0.122711
1.45	-0.054705	-0.10941
1.47	-0.047918	-0.095837
1.49	-0.041003	-0.082007
1.51	-0.033967	-0.067933
1.53	-0.026814	-0.053629
1.55	-0.019553	-0.039105
1.57	-0.012187	-0.024374
1.59	-0.004723	-0.009445
1.61	0.002836	0.005672
1.63	0.010484	0.020967
1.65	0.018216	0.036433
1.67	0.02603	0.05206
1.69	0.033921	0.067842
1.71	0.041885	0.083771
1.73	0.04992	0.09984
1.75	0.058022	0.116043
1.77	0.066187	0.132375
1.79	0.074414	0.148828
1.81	0.082699	0.165398
1.83	0.09104	0.182081
1.85	0.099435	0.19887
1.87	0.107881	0.215762
1.89	0.116376	0.232752
1.91	0.124918	0.249836
1.93	0.133505	0.26701
1.95	0.142135	0.28427
1.97	0.150807	0.301614
1.99	0.159519	0.319037
