t	dE	errPct
0	0.00000016	0.000106
0.05	-0.00002828	0.018374
0.1	-0.00003454	0.022439
0.15	-0.00005384	0.034980
0.2	-0.00006207	0.040323
0.25	-0.00006049	0.039300
0.3	-0.00010350	0.067245
0.35	-0.00008147	0.052932
0.4	-0.00010124	0.065777
0.45	-0.00009515	0.061816
0.5	-0.00012211	0.079334
0.55	-0.00012887	0.083728
0.6	-0.00013407	0.087103
0.65	-0.00013898	0.090296
0.7	-0.00014364	0.093322
0.75	-0.00014695	0.095470
0.8	-0.00015462	0.100457
0.85	-0.00013538	0.087954
0.9	-0.00014942	0.097074
0.95	-0.00015009	0.097513
1	-0.00012652	0.082201
1.05	-0.00015651	0.101682
1.1	-0.00012483	0.081102
1.2	-0.00012091	0.078554
1.25	-0.00010198	0.066254
1.3	-0.00010608	0.068917
1.35	-0.00010991	0.071406
1.4	-0.00009461	0.061470
1.45	-0.00010015	0.065067
1.5	-0.00009275	0.060258
1.55	-0.00009406	0.061113
1.6	-0.00004433	0.028799
1.65	-0.00005945	0.038627
1.7	-0.00004645	0.030178
1.75	-0.00002468	0.016034
1.8	-0.00003611	0.023460
1.85	-0.00001052	0.006835
1.9	-0.00004065	0.026409
1.95	0.00000392	0.002550
2	-0.00003414	0.022178
2.05	-0.00000884	0.005740
2.1	0.00002114	0.013733
2.15	-0.00000795	0.005167
2.2	0.00000632	0.004108
2.25	-0.00000278	0.001809
2.3	0.00001334	0.008669
2.35	0.00000047	0.000305
2.4	-0.00000298	0.001939
2.45	0.00000408	0.002651
2.5	0.00001340	0.008704
2.55	0.00002285	0.014845
2.6	0.00002305	0.014975
2.65	0.00001701	0.011054
2.7	0.00004652	0.030223
2.75	0.00000978	0.006355
2.8	0.00005493	0.035688
2.85	0.00002726	0.017711
2.9	0.00002400	0.015590
2.95	0.00004772	0.031004
3	0.00004041	0.026257
3.05	0.00005432	0.035291
3.1	0.00003346	0.021738
3.15	0.00003040	0.019747
3.2	0.00004365	0.028360
3.25	0.00007189	0.046710
3.3	0.00005973	0.038803
3.35	0.00006024	0.039134
3.4	0.00007244	0.047060
3.45	0.00004122	0.026783
3.55	0.00006223	0.040432
3.6	0.00005885	0.038235
3.65	0.00006270	0.040736
3.7	0.00007481	0.048605
3.75	0.00003963	0.025748
3.8	0.00006456	0.041943
3.85	0.00004205	0.027322
3.9	0.00002531	0.016445
3.95	0.00006769	0.043979
4	0.00006094	0.039593
4.05	0.00005969	0.038782
4.1	0.00006249	0.040597
4.15	0.00006971	0.045289
4.2	0.00002732	0.017748
4.25	0.00004223	0.027433
4.3	0.00006154	0.039981
4.35	0.00003063	0.019899
4.4	0.00005665	0.036805
4.45	0.00003213	0.020877
4.5	0.00006485	0.042133
4.55	0.00004673	0.030359
4.6	0.00003162	0.020542
4.65	0.00007347	0.047733
4.7	0.00006409	0.041640
4.75	0.00005701	0.037036
4.8	0.00005297	0.034415
4.85	0.00005107	0.033183
4.9	0.00005165	0.033559
4.95	0.00005463	0.035494
5	0.00005994	0.038941
5.05	0.00006750	0.043855
5.1	0.00007726	0.050192
5.15	0.00003488	0.022663
5.2	0.00004881	0.031714
5.25	0.00006441	0.041849
5.3	0.00002801	0.018197
5.35	0.00004746	0.030836
5.4	0.00006910	0.044892
5.45	0.00003786	0.024599
5.5	0.00006273	0.040752
5.55	0.00003492	0.022687
5.6	0.00006315	0.041029
5.65	0.00003860	0.025075
5.7	0.00007002	0.045493
5.75	0.00004855	0.031542
5.85	0.00006420	0.041707
5.9	0.00004706	0.030572
5.95	0.00003103	0.020159
6	0.00007110	0.046193
6.05	0.00005773	0.037507
6.1	0.00004588	0.029807
6.15	0.00003503	0.022757
6.2	0.00007994	0.051940
6.25	0.00007150	0.046456
6.3	0.00006445	0.041869
6.35	0.00005829	0.037869
6.4	0.00005323	0.034584
6.45	0.00004925	0.031999
6.5	0.00004633	0.030098
6.55	0.00004422	0.028730
6.6	0.00004333	0.028149
6.65	0.00004341	0.028205
6.7	0.00004446	0.028883
6.75	0.00004624	0.030045
6.8	0.00004914	0.031927
6.85	0.00005293	0.034389
6.9	0.00005741	0.037301
6.95	0.00006294	0.040889
7	0.00006912	0.044905
7.05	0.00007612	0.049455
7.1	0.00008410	0.054639
7.15	0.00003795	0.024654
7.2	0.00004730	0.030731
7.25	0.00005757	0.037402
7.3	0.00006841	0.044446
7.35	0.00007997	0.051959
7.4	0.00003746	0.024337
7.45	0.00005041	0.032752
7.5	0.00006404	0.041606
7.55	0.00007833	0.050892
7.6	0.00003846	0.024986
7.65	0.00005403	0.035100
7.7	0.00007021	0.045618
7.75	0.00003218	0.020907
7.8	0.00004943	0.032115
7.85	0.00006741	0.043794
7.9	0.00003110	0.020207
7.95	0.00005020	0.032617
8	0.00006973	0.045303
8.05	0.00003505	0.022772
8.1	0.00005577	0.036231
8.2	0.00004373	0.028411
8.25	0.00006585	0.042781
8.3	0.00003367	0.021876
8.35	0.00005675	0.036873
8.4	0.00008043	0.052252
8.45	0.00004952	0.032174
8.5	0.00007399	0.048072
8.55	0.00004408	0.028640
8.6	0.00006943	0.045107
8.65	0.00004026	0.026158
8.7	0.00006656	0.043242
8.75	0.00003821	0.024824
8.8	0.00006521	0.042369
8.85	0.00003766	0.024465
8.9	0.00006545	0.042520
8.95	0.00003874	0.025172
9	0.00006729	0.043718
9.05	0.00004122	0.026782
9.1	0.00007050	0.045802
9.15	0.00004514	0.029326
9.2	0.00007512	0.048803
9.25	0.00005044	0.032769
9.3	0.00008110	0.052687
9.35	0.00005707	0.037080
9.4	0.00003337	0.021681
9.45	0.00006500	0.042228
9.5	0.00004192	0.027234
9.55	0.00007408	0.048132
9.6	0.00005161	0.033528
9.65	0.00008446	0.054871
9.7	0.00006256	0.040645
9.75	0.00004095	0.026602
9.8	0.00007465	0.048502
9.85	0.00005351	0.034767
9.9	0.00003272	0.021258
9.95	0.00006724	0.043688
10	0.00004690	0.030471
10.05	0.00008195	0.053243
10.1	0.00006219	0.040402
10.15	0.00004260	0.027676
10.2	0.00007840	0.050936
10.25	0.00005936	0.038569
10.3	0.00004050	0.026310
10.35	0.00007701	0.050034
10.4	0.00005860	0.038074
10.45	0.00004049	0.026303
10.55	0.00005994	0.038940
10.6	0.00004240	0.027549
10.65	0.00008025	0.052138
10.7	0.00006314	0.041019
10.75	0.00004629	0.030072
10.8	0.00008469	0.055023
10.85	0.00006824	0.044334
