r	vr
1.5	0.08
1.5045	0.0971
1.5098	0.1141
1.516	0.131
1.523	0.1477
1.5308	0.1642
1.5395	0.1804
1.5489	0.1965
1.5592	0.2123
1.5702	0.2278
1.582	0.2429
1.5946	0.2578
1.6079	0.2723
1.6219	0.2864
1.6366	0.3001
1.652	0.3134
1.668	0.3262
1.6846	0.3386
1.7019	0.3505
1.7197	0.3619
1.7381	0.3729
1.7571	0.3833
1.7765	0.3933
1.8168	0.4117
1.8376	0.4202
1.8589	0.4282
1.8805	0.4357
1.9025	0.4428
1.9248	0.4494
1.9474	0.4556
1.9704	0.4614
1.9936	0.4669
2.0171	0.4719
2.0408	0.4766
2.0648	0.481
2.0889	0.485
2.1133	0.4888
2.1378	0.4922
2.1625	0.4955
2.1874	0.4984
2.2124	0.5012
2.2375	0.5038
2.2628	0.5061
2.2881	0.5083
2.3136	0.5103
2.3392	0.5122
2.3648	0.5139
2.3906	0.5155
2.4164	0.517
2.4423	0.5184
2.4682	0.5197
2.4943	0.5209
2.5203	0.522
2.5465	0.5231
2.5726	0.524
2.5989	0.525
2.6251	0.5258
2.6515	0.5266
2.6778	0.5274
2.7042	0.5281
2.7306	0.5288
2.7571	0.5294
2.7836	0.53
2.8101	0.5306
2.8366	0.5312
2.8632	0.5317
2.8898	0.5322
2.9164	0.5327
2.9431	0.5331
2.9964	0.534
3.0231	0.5344
3.0499	0.5348
3.0766	0.5352
3.1034	0.5355
3.1302	0.5359
3.157	0.5362
3.1838	0.5365
3.2106	0.5369
3.2375	0.5372
3.2643	0.5375
3.2912	0.5378
3.3181	0.5381
3.345	0.5383
3.372	0.5386
3.3989	0.5389
3.4258	0.5391
3.4528	0.5394
3.4798	0.5396
3.5068	0.5399
3.5338	0.5401
3.5608	0.5403
3.5878	0.5406
3.6148	0.5408
3.6419	0.541
3.6689	0.5412
3.696	0.5414
3.7231	0.5416
3.7502	0.5418
3.7773	0.542
3.8044	0.5422
3.8315	0.5424
3.8586	0.5425
3.8857	0.5427
3.9129	0.5429
3.94	0.543
3.9672	0.5432
3.9943	0.5434
4.0215	0.5435
4.0487	0.5437
4.0759	0.5438
4.1031	0.544
4.1303	0.5441
4.1575	0.5443
4.1847	0.5444
4.2392	0.5447
4.2664	0.5448
4.2937	0.5449
4.3209	0.5451
4.3482	0.5452
4.3754	0.5453
4.4027	0.5454
4.43	0.5456
4.4573	0.5457
4.4845	0.5458
4.5118	0.5459
4.5391	0.546
4.5664	0.5461
4.5937	0.5462
4.6211	0.5463
4.6484	0.5464
4.6757	0.5465
4.703	0.5466
4.7304	0.5467
4.7577	0.5468
4.785	0.5469
4.8124	0.547
4.8397	0.5471
4.8671	0.5472
4.8945	0.5473
4.9218	0.5474
4.9492	0.5474
4.9766	0.5475
5.0039	0.5476
5.0313	0.5477
5.0587	0.5478
5.0861	0.5478
5.1135	0.5479
5.1409	0.548
5.1683	0.5481
5.1957	0.5481
5.2231	0.5482
5.2505	0.5483
5.2779	0.5483
5.3054	0.5484
5.3328	0.5485
5.3602	0.5485
5.3876	0.5486
5.4151	0.5487
5.4425	0.5487
5.4699	0.5488
5.5248	0.5489
5.5523	0.549
5.5797	0.549
5.6072	0.5491
5.6346	0.5492
5.6621	0.5492
5.6896	0.5493
5.717	0.5493
5.7445	0.5494
5.772	0.5494
5.7994	0.5495
5.8269	0.5495
5.8544	0.5496
5.8819	0.5496
5.9094	0.5497
5.9368	0.5497
5.9643	0.5498
5.9918	0.5498
6.0193	0.5499
6.0468	0.5499
6.0743	0.55
