t	r
0	1.5
0.05	1.5045
0.1	1.5098
0.15	1.516
0.2	1.523
0.25	1.5308
0.3	1.5395
0.35	1.5489
0.4	1.5592
0.45	1.5702
0.5	1.582
0.55	1.5946
0.6	1.6079
0.65	1.6219
0.7	1.6366
0.75	1.652
0.8	1.668
0.85	1.6846
0.9	1.7019
0.95	1.7197
1	1.7381
1.05	1.7571
1.1	1.7765
1.2	1.8168
1.25	1.8376
1.3	1.8589
1.35	1.8805
1.4	1.9025
1.45	1.9248
1.5	1.9474
1.55	1.9704
1.6	1.9936
1.65	2.0171
1.7	2.0408
1.75	2.0648
1.8	2.0889
1.85	2.1133
1.9	2.1378
1.95	2.1625
2	2.1874
2.05	2.2124
2.1	2.2375
2.15	2.2628
2.2	2.2881
2.25	2.3136
2.3	2.3392
2.35	2.3648
2.4	2.3906
2.45	2.4164
2.5	2.4423
2.55	2.4682
2.6	2.4943
2.65	2.5203
2.7	2.5465
2.75	2.5726
2.8	2.5989
2.85	2.6251
2.9	2.6515
2.95	2.6778
3	2.7042
3.05	2.7306
3.1	2.7571
3.15	2.7836
3.2	2.8101
3.25	2.8366
3.3	2.8632
3.35	2.8898
3.4	2.9164
3.45	2.9431
3.55	2.9964
3.6	3.0231
3.65	3.0499
3.7	3.0766
3.75	3.1034
3.8	3.1302
3.85	3.157
3.9	3.1838
3.95	3.2106
4	3.2375
4.05	3.2643
4.1	3.2912
4.15	3.3181
4.2	3.345
4.25	3.372
4.3	3.3989
4.35	3.4258
4.4	3.4528
4.45	3.4798
4.5	3.5068
4.55	3.5338
4.6	3.5608
4.65	3.5878
4.7	3.6148
4.75	3.6419
4.8	3.6689
4.85	3.696
4.9	3.7231
4.95	3.7502
5	3.7773
5.05	3.8044
5.1	3.8315
5.15	3.8586
5.2	3.8857
5.25	3.9129
5.3	3.94
5.35	3.9672
5.4	3.9943
5.45	4.0215
5.5	4.0487
5.55	4.0759
5.6	4.1031
5.65	4.1303
5.7	4.1575
5.75	4.1847
5.85	4.2392
5.9	4.2664
5.95	4.2937
6	4.3209
6.05	4.3482
6.1	4.3754
6.15	4.4027
6.2	4.43
6.25	4.4573
6.3	4.4845
6.35	4.5118
6.4	4.5391
6.45	4.5664
6.5	4.5937
6.55	4.6211
6.6	4.6484
6.65	4.6757
6.7	4.703
6.75	4.7304
6.8	4.7577
6.85	4.785
6.9	4.8124
6.95	4.8397
7	4.8671
7.05	4.8945
7.1	4.9218
7.15	4.9492
7.2	4.9766
7.25	5.0039
7.3	5.0313
7.35	5.0587
7.4	5.0861
7.45	5.1135
7.5	5.1409
7.55	5.1683
7.6	5.1957
7.65	5.2231
7.7	5.2505
7.75	5.2779
7.8	5.3054
7.85	5.3328
7.9	5.3602
7.95	5.3876
8	5.4151
8.05	5.4425
8.1	5.4699
8.2	5.5248
8.25	5.5523
8.3	5.5797
8.35	5.6072
8.4	5.6346
8.45	5.6621
8.5	5.6896
8.55	5.717
8.6	5.7445
8.65	5.772
8.7	5.7994
8.75	5.8269
8.8	5.8544
8.85	5.8819
8.9	5.9094
8.95	5.9368
9	5.9643
9.05	5.9918
9.1	6.0193
9.15	6.0468
9.2	6.0743
9.25	6.1018
9.3	6.1293
9.35	6.1568
9.4	6.1843
9.45	6.2118
9.5	6.2393
9.55	6.2669
9.6	6.2944
9.65	6.3219
9.7	6.3494
9.75	6.3769
9.8	6.4044
9.85	6.432
9.9	6.4595
9.95	6.487
10	6.5146
10.05	6.5421
10.1	6.5696
10.15	6.5972
10.2	6.6247
10.25	6.6522
10.3	6.6798
10.35	6.7073
10.4	6.7349
10.45	6.7624
10.55	6.8175
10.6	6.8451
10.65	6.8726
10.7	6.9002
10.75	6.9277
10.8	6.9553
10.85	6.9828
10.9	7.0104
10.95	7.038
11	7.0655
11.05	7.0931
11.1	7.1206
11.15	7.1482
11.2	7.1758
11.25	7.2033
11.3	7.2309
11.35	7.2585
11.4	7.2861
11.45	7.3136
11.5	7.3412
11.55	7.3688
11.6	7.3964
11.65	7.424
11.7	7.4515
11.75	7.4791
11.8	7.5067
11.85	7.5343
11.9	7.5619
11.95	7.5895
12	7.6171
12.05	7.6446
12.1	7.6722
12.15	7.6998
12.2	7.7274
12.25	7.755
12.3	7.7826
12.35	7.8102
12.4	7.8378
12.45	7.8654
12.5	7.893
12.55	7.9206
12.6	7.9482
12.65	7.9758
12.7	8.0034
12.75	8.031
12.85	8.0862
12.9	8.1138
12.95	8.1414
13	8.1691
13.05	8.1967
13.1	8.2243
13.15	8.2519
13.2	8.2795
13.25	8.3071
13.3	8.3347
13.35	8.3623
13.4	8.39
13.45	8.4176
13.5	8.4452
13.55	8.4728
13.6	8.5004
13.65	8.5281
13.7	8.5557
13.75	8.5833
13.8	8.6109
13.85	8.6385
13.9	8.6662
13.95	8.6938
14	8.7214
14.05	8.749
14.1	8.7767
14.15	8.8043
14.2	8.8319
14.25	8.8596
14.3	8.8872
14.35	8.9148
14.4	8.9425
14.45	8.9701
14.5	8.9977
14.55	9.0254
14.6	9.053
14.65	9.0806
14.7	9.1083
14.75	9.1359
14.8	9.1635
14.85	9.1912
14.9	9.2188
14.95	9.2465
15	9.2741
15.05	9.3017
15.1	9.3294
15.2	9.3847
15.25	9.4123
15.3	9.44
15.35	9.4676
15.4	9.4952
