r	ueq	ueff
0.51	0.621799	1.006329
0.53	0.586127	0.961633
0.55	0.553822	0.91976
0.57	0.524438	0.880315
0.59	0.4976	0.842974
0.61	0.472991	0.807471
0.63	0.450337	0.773584
0.65	0.429405	0.741132
0.67	0.409993	0.709962
0.69	0.391925	0.679948
0.71	0.375048	0.650983
0.73	0.359225	0.62298
0.75	0.344337	0.595864
0.77	0.330278	0.569574
0.79	0.316954	0.544058
0.81	0.304281	0.519273
0.83	0.292182	0.495183
0.85	0.280589	0.471756
0.87	0.269442	0.448969
0.89	0.258685	0.426798
0.91	0.248269	0.405227
0.93	0.238147	0.38424
0.95	0.228281	0.363824
0.97	0.218634	0.343967
0.99	0.209173	0.32466
1.01	0.199871	0.305895
1.03	0.190701	0.287663
1.05	0.181642	0.269958
1.07	0.172676	0.252772
1.09	0.163787	0.236101
1.11	0.154963	0.219937
1.13	0.146193	0.204275
1.15	0.137472	0.189109
1.17	0.128795	0.174432
1.19	0.120161	0.160239
1.21	0.11157	0.146522
1.23	0.103026	0.133276
1.25	0.094533	0.120492
1.27	0.086099	0.108165
1.29	0.077732	0.096286
1.31	0.069443	0.084847
1.33	0.061241	0.07384
1.35	0.053139	0.063258
1.37	0.045149	0.05309
1.39	0.037284	0.043329
1.41	0.029556	0.033964
1.43	0.021978	0.024988
1.45	0.014561	0.016389
1.47	0.007318	0.008158
1.49	0.000258	0.000285
1.51	-0.006609	-0.007239
1.53	-0.013274	-0.014425
1.55	-0.019731	-0.021284
1.57	-0.025974	-0.027825
1.59	-0.031998	-0.034059
1.61	-0.037799	-0.039995
1.63	-0.043376	-0.045645
1.65	-0.048727	-0.051019
1.67	-0.053854	-0.056126
1.69	-0.058757	-0.060976
1.71	-0.063439	-0.06558
1.73	-0.067903	-0.069947
1.75	-0.072154	-0.074087
1.77	-0.076195	-0.07801
1.79	-0.080033	-0.081723
1.81	-0.083673	-0.085238
1.83	-0.087123	-0.088562
1.85	-0.090387	-0.091705
1.87	-0.093474	-0.094674
1.89	-0.09639	-0.097478
1.91	-0.099143	-0.100124
1.93	-0.10174	-0.102622
1.95	-0.104188	-0.104977
1.97	-0.106494	-0.107197
1.99	-0.108665	-0.10929
2.01	-0.110708	-0.111262
2.03	-0.11263	-0.113119
2.05	-0.114438	-0.114868
2.07	-0.116137	-0.116515
2.09	-0.117734	-0.118064
2.11	-0.119234	-0.119523
2.13	-0.120644	-0.120895
2.15	-0.121969	-0.122187
2.17	-0.123214	-0.123402
2.19	-0.124383	-0.124546
2.21	-0.125482	-0.125623
2.23	-0.126515	-0.126636
2.25	-0.127486	-0.127589
2.27	-0.128399	-0.128487
2.29	-0.129257	-0.129333
2.31	-0.130066	-0.13013
2.33	-0.130826	-0.130881
2.35	-0.131543	-0.131589
2.37	-0.132218	-0.132257
2.39	-0.132855	-0.132888
2.41	-0.133455	-0.133483
2.43	-0.134023	-0.134046
2.45	-0.134559	-0.134578
2.47	-0.135066	-0.135082
2.49	-0.135546	-0.135559
2.51	-0.136	-0.136012
2.53	-0.136431	-0.136441
2.55	-0.13684	-0.136848
2.57	-0.137229	-0.137236
2.59	-0.137599	-0.137604
2.61	-0.137951	-0.137955
2.63	-0.138286	-0.13829
2.65	-0.138606	-0.138609
2.67	-0.138912	-0.138915
2.69	-0.139204	-0.139207
2.71	-0.139484	-0.139486
2.73	-0.139753	-0.139754
2.75	-0.14001	-0.140011
2.77	-0.140257	-0.140258
2.79	-0.140495	-0.140495
2.81	-0.140723	-0.140724
2.83	-0.140944	-0.140944
2.85	-0.141156	-0.141157
2.87	-0.141362	-0.141362
2.89	-0.14156	-0.14156
2.91	-0.141752	-0.141752
2.93	-0.141938	-0.141938
2.95	-0.142118	-0.142118
2.97	-0.142293	-0.142293
2.99	-0.142463	-0.142463
3.01	-0.142627	-0.142627
3.03	-0.142788	-0.142788
3.05	-0.142944	-0.142944
3.07	-0.143095	-0.143095
3.09	-0.143243	-0.143243
3.11	-0.143388	-0.143388
3.13	-0.143528	-0.143528
3.15	-0.143666	-0.143666
3.17	-0.1438	-0.1438
3.19	-0.143931	-0.143931
3.21	-0.144059	-0.144059
3.23	-0.144185	-0.144185
3.25	-0.144307	-0.144307
3.27	-0.144427	-0.144427
3.29	-0.144545	-0.144545
3.31	-0.14466	-0.14466
3.33	-0.144773	-0.144773
3.35	-0.144884	-0.144884
3.37	-0.144992	-0.144992
3.39	-0.145098	-0.145098
3.41	-0.145203	-0.145203
3.43	-0.145305	-0.145305
3.45	-0.145406	-0.145406
3.47	-0.145504	-0.145504
3.49	-0.145601	-0.145601
