x	y
1.5	0
1.5044	0.015
1.5095	0.03
1.5153	0.045
1.5218	0.0601
1.529	0.0751
1.5368	0.0902
1.5453	0.1053
1.5545	0.1205
1.5644	0.1357
1.5748	0.151
1.5859	0.1664
1.5976	0.1818
1.6099	0.1972
1.6227	0.2128
1.6361	0.2284
1.65	0.2441
1.6645	0.2598
1.6794	0.2757
1.6948	0.2916
1.7107	0.3076
1.727	0.3236
1.7437	0.3398
1.7783	0.3723
1.7961	0.3887
1.8142	0.4051
1.8326	0.4216
1.8513	0.4382
1.8703	0.4548
1.8895	0.4715
1.9089	0.4882
1.9286	0.505
1.9484	0.5219
1.9684	0.5388
1.9886	0.5557
2.0089	0.5727
2.0293	0.5897
2.0499	0.6068
2.0706	0.6238
2.0914	0.641
2.1122	0.6581
2.1332	0.6753
2.1542	0.6925
2.1753	0.7097
2.1964	0.7269
2.2176	0.7441
2.2389	0.7614
2.2602	0.7787
2.2815	0.796
2.3029	0.8133
2.3243	0.8306
2.3457	0.8479
2.3671	0.8653
2.3886	0.8826
2.4101	0.9
2.4316	0.9173
2.4531	0.9347
2.4746	0.952
2.4962	0.9694
2.5177	0.9868
2.5393	1.0042
2.5608	1.0215
2.5824	1.0389
2.604	1.0563
2.6256	1.0737
2.6472	1.0911
2.6687	1.1085
2.6903	1.1259
2.7119	1.1433
2.7551	1.178
2.7767	1.1954
2.7983	1.2128
2.8199	1.2302
2.8415	1.2476
2.8631	1.265
2.8848	1.2824
2.9064	1.2998
2.928	1.3172
2.9496	1.3346
2.9712	1.352
2.9928	1.3694
3.0144	1.3868
3.036	1.4042
3.0576	1.4216
3.0792	1.439
3.1008	1.4564
3.1225	1.4738
3.1441	1.4912
3.1657	1.5086
3.1873	1.526
3.2089	1.5434
3.2305	1.5608
3.2521	1.5782
3.2737	1.5956
3.2953	1.613
3.317	1.6304
3.3386	1.6478
3.3602	1.6652
3.3818	1.6826
3.4034	1.7
3.425	1.7174
3.4466	1.7348
3.4682	1.7522
3.4898	1.7696
3.5115	1.787
3.5331	1.8044
3.5547	1.8218
3.5763	1.8392
3.5979	1.8566
3.6195	1.874
3.6411	1.8914
3.6627	1.9088
3.6843	1.9262
3.706	1.9436
3.7492	1.9785
3.7708	1.9959
3.7924	2.0133
3.814	2.0307
3.8356	2.0481
3.8572	2.0655
3.8788	2.0829
3.9005	2.1003
3.9221	2.1177
3.9437	2.1351
3.9653	2.1525
3.9869	2.1699
4.0085	2.1873
4.0301	2.2047
4.0517	2.2221
4.0733	2.2395
4.095	2.2569
4.1166	2.2743
4.1382	2.2917
4.1598	2.3091
4.1814	2.3265
4.203	2.3439
4.2246	2.3613
4.2462	2.3787
4.2678	2.3961
4.2895	2.4135
4.3111	2.4309
4.3327	2.4483
4.3543	2.4657
4.3759	2.4831
4.3975	2.5005
4.4191	2.5179
4.4407	2.5353
4.4623	2.5527
4.484	2.5701
4.5056	2.5875
4.5272	2.6049
4.5488	2.6223
4.5704	2.6397
4.592	2.6571
4.6136	2.6745
4.6352	2.6919
4.6568	2.7093
4.6784	2.7267
4.7001	2.7441
4.7217	2.7615
4.7649	2.7964
4.7865	2.8138
4.8081	2.8312
4.8297	2.8486
4.8513	2.866
4.8729	2.8834
4.8946	2.9008
4.9162	2.9182
4.9378	2.9356
4.9594	2.953
4.981	2.9704
5.0026	2.9878
5.0242	3.0052
5.0458	3.0226
5.0674	3.04
5.0891	3.0574
5.1107	3.0748
5.1323	3.0922
5.1539	3.1096
5.1755	3.127
5.1971	3.1444
5.2187	3.1618
5.2403	3.1792
5.2619	3.1966
5.2836	3.214
5.3052	3.2314
5.3268	3.2488
5.3484	3.2662
5.37	3.2836
5.3916	3.301
5.4132	3.3184
5.4348	3.3358
5.4564	3.3532
5.4781	3.3706
5.4997	3.388
5.5213	3.4054
5.5429	3.4228
5.5645	3.4402
5.5861	3.4576
5.6077	3.4751
5.6293	3.4925
5.6509	3.5099
5.6725	3.5273
5.6942	3.5447
5.7158	3.5621
5.7374	3.5795
5.7806	3.6143
5.8022	3.6317
5.8238	3.6491
5.8454	3.6665
5.867	3.6839
5.8887	3.7013
5.9103	3.7187
5.9319	3.7361
5.9535	3.7535
5.9751	3.7709
5.9967	3.7883
6.0183	3.8057
6.0399	3.8231
6.0615	3.8405
6.0832	3.8579
6.1048	3.8753
6.1264	3.8927
6.148	3.9101
6.1696	3.9275
6.1912	3.9449
6.2128	3.9623
6.2344	3.9797
6.256	3.9971
6.2777	4.0145
6.2993	4.0319
6.3209	4.0493
6.3425	4.0667
6.3641	4.0841
6.3857	4.1016
6.4073	4.119
6.4289	4.1364
6.4505	4.1538
6.4721	4.1712
6.4938	4.1886
6.5154	4.206
6.537	4.2234
6.5586	4.2408
6.5802	4.2582
6.6018	4.2756
6.6234	4.293
6.645	4.3104
6.6666	4.3278
6.6883	4.3452
6.7099	4.3626
6.7315	4.38
6.7747	4.4148
6.7963	4.4322
6.8179	4.4496
6.8395	4.467
6.8611	4.4844
6.8828	4.5018
6.9044	4.5192
6.926	4.5366
6.9476	4.554
6.9692	4.5714
6.9908	4.5888
7.0124	4.6062
7.034	4.6236
7.0556	4.641
7.0772	4.6584
7.0989	4.6758
7.1205	4.6932
7.1421	4.7107
7.1637	4.7281
7.1853	4.7455
7.2069	4.7629
7.2285	4.7803
7.2501	4.7977
7.2717	4.8151
7.2934	4.8325
7.315	4.8499
7.3366	4.8673
7.3582	4.8847
7.3798	4.9021
7.4014	4.9195
7.423	4.9369
7.4446	4.9543
7.4662	4.9717
7.4879	4.9891
7.5095	5.0065
7.5311	5.0239
7.5527	5.0413
7.5743	5.0587
7.5959	5.0761
7.6175	5.0935
7.6391	5.1109
7.6607	5.1283
7.6823	5.1457
7.704	5.1631
7.7256	5.1805
7.7472	5.1979
7.7904	5.2327
7.812	5.2501
7.8336	5.2675
7.8552	5.285
7.8768	5.3024
7.8985	5.3198
7.9201	5.3372
7.9417	5.3546
7.9633	5.372
7.9849	5.3894
8.0065	5.4068
8.0281	5.4242
8.0497	5.4416
8.0713	5.459
8.093	5.4764
8.1146	5.4938
8.1362	5.5112
8.1578	5.5286
8.1794	5.546
8.201	5.5634
8.2226	5.5808
8.2442	5.5982
8.2658	5.6156
