t	dE	errPct
0	-0.00000044	0.000004
0.3	-0.00870449	0.086008
0.65	-0.00055556	0.005489
0.95	0.00490511	0.048467
1.25	0.00686554	0.067838
1.55	0.00719887	0.071131
1.9	0.00594462	0.058738
2.2	0.00414447	0.040951
2.5	0.00372467	0.036803
2.8	0.00291418	0.028795
3.15	0.00165004	0.016304
3.45	0.00128997	0.012746
3.75	0.00071458	0.007061
4.1	-0.00032505	0.003212
4.4	-0.00101534	0.010032
4.7	-0.00127349	0.012583
5	-0.00191653	0.018937
5.35	-0.00260147	0.025705
5.65	-0.00304550	0.030092
5.95	-0.00344383	0.034028
6.25	-0.00366386	0.036202
6.6	-0.00508097	0.050204
6.9	-0.00562168	0.055547
7.2	-0.00663978	0.065607
7.5	-0.00773839	0.076462
7.85	-0.00929589	0.091852
8.15	-0.01031527	0.101924
8.45	-0.01109977	0.109675
8.8	-0.00955633	0.094425
9.1	-0.00607408	0.060017
9.4	0.00168107	0.016610
9.7	0.00413338	0.040841
10.05	-0.01090906	0.107791
10.35	-0.00970315	0.095876
10.65	-0.00173705	0.017164
10.95	0.00252583	0.024957
11.3	0.00319595	0.031579
11.6	0.00263931	0.026079
11.9	0.00220835	0.021820
12.25	0.00017148	0.001694
12.55	-0.00032909	0.003252
12.85	-0.00136531	0.013490
13.15	-0.00216130	0.021356
13.5	-0.00304026	0.030040
13.8	-0.00377013	0.037252
14.1	-0.00396323	0.039160
14.4	-0.00491890	0.048603
14.75	-0.00513626	0.050751
15.05	-0.00595497	0.058840
15.35	-0.00606773	0.059955
15.65	-0.00675931	0.066788
16	-0.00769619	0.076045
16.3	-0.00831422	0.082152
16.6	-0.00906815	0.089601
16.95	-0.01000983	0.098906
17.25	-0.01118731	0.110540
17.55	-0.01127643	0.111421
17.85	-0.01305744	0.129019
18.2	-0.01420922	0.140400
18.5	-0.01403058	0.138635
18.8	-0.01308434	0.129285
19.1	-0.00745013	0.073614
19.45	0.00145329	0.014360
19.75	-0.00518623	0.051245
20.05	-0.01622560	0.160323
20.4	-0.00895065	0.088440
20.7	-0.00275542	0.027226
21	-0.00048455	0.004788
21.3	-0.00012201	0.001206
21.65	-0.00078593	0.007766
21.95	-0.00223637	0.022097
22.25	-0.00318919	0.031512
22.55	-0.00422432	0.041740
22.9	-0.00544387	0.053790
23.2	-0.00618573	0.061120
23.5	-0.00682366	0.067424
23.8	-0.00742408	0.073356
