t	r
0	1.2
0.3	1.2757
0.65	1.4851
0.95	1.6912
1.25	1.889
1.55	2.0691
1.9	2.2544
2.2	2.3926
2.5	2.513
2.8	2.6167
3.15	2.7181
3.45	2.7892
3.75	2.8465
4.1	2.8965
4.4	2.9254
4.7	2.9418
5	2.9457
5.35	2.9346
5.65	2.9116
5.95	2.8759
6.25	2.8272
6.6	2.7532
6.9	2.6745
7.2	2.5809
7.5	2.4713
7.85	2.3218
8.15	2.1738
8.45	2.0064
8.8	1.7869
9.1	1.5831
9.4	1.3827
9.7	1.2335
10.05	1.221
10.35	1.3572
10.65	1.5544
10.95	1.7595
11.3	1.982
11.6	2.1522
11.9	2.3028
12.25	2.455
12.55	2.5668
12.85	2.6625
13.15	2.7431
13.5	2.8192
13.8	2.8696
14.1	2.907
14.4	2.9316
14.75	2.9446
15.05	2.9422
15.35	2.9275
15.65	2.9002
16	2.8521
16.3	2.7966
16.6	2.7273
16.95	2.6282
17.25	2.5266
17.55	2.4086
17.85	2.2729
18.2	2.0907
18.5	1.9134
18.8	1.718
19.1	1.5125
19.45	1.2959
19.75	1.2023
20.05	1.2561
20.4	1.4544
20.7	1.6596
21	1.8593
21.3	2.0422
21.65	2.2309
21.95	2.3718
22.25	2.4947
22.55	2.6009
22.9	2.7049
23.2	2.7781
23.5	2.8373
23.8	2.8832
24.15	2.9205
24.45	2.9387
24.75	2.9444
25.1	2.9355
25.4	2.9144
25.7	2.8805
26	2.8338
26.35	2.7622
26.65	2.6856
26.95	2.5943
27.25	2.4871
27.6	2.3407
27.9	2.1955
28.2	2.0311
28.55	1.8148
28.85	1.6126
29.15	1.4101
29.45	1.2493
29.8	1.2117
30.1	1.3324
30.4	1.5248
30.7	1.7303
31.05	1.9554
31.35	2.1283
31.65	2.2815
31.95	2.416
32.3	2.5508
32.6	2.6487
32.9	2.7313
33.25	2.8096
33.55	2.8619
33.85	2.9011
34.15	2.9275
34.5	2.9425
34.8	2.9418
35.1	2.9288
35.4	2.9033
35.75	2.8573
36.05	2.8037
36.35	2.7363
36.7	2.6396
37	2.5402
37.3	2.4245
37.6	2.2914
37.95	2.1124
38.25	1.9378
38.55	1.7448
38.85	1.54
39.2	1.3174
39.5	1.2074
39.8	1.2411
40.15	1.4279
40.45	1.6317
40.75	1.8329
41.05	2.0182
41.4	2.2098
41.7	2.3531
42	2.4783
42.3	2.5865
42.65	2.6928
42.95	2.7679
43.25	2.829
43.55	2.8766
43.9	2.9157
44.2	2.9356
44.5	2.9429
44.85	2.9359
45.15	2.9163
45.45	2.8842
45.75	2.8391
46.1	2.7696
46.4	2.6949
46.7	2.6055
47	2.5004
47.35	2.3567
47.65	2.214
47.95	2.0521
48.3	1.8387
48.6	1.6382
48.9	1.4344
49.2	1.2651
49.55	1.2062
49.85	1.3121
50.15	1.4992
50.45	1.7046
50.8	1.9319
51.1	2.1071
51.4	2.2626
51.7	2.3993
52.05	2.5365
52.35	2.6362
52.65	2.7207
53	2.801
53.3	2.8549
53.6	2.8956
53.9	2.9235
54.25	2.9402
54.55	2.9411
54.85	2.9296
55.15	2.9055
55.5	2.8614
55.8	2.8094
56.1	2.7437
56.45	2.6491
56.75	2.5516
57.05	2.4379
57.35	2.3069
57.7	2.1306
58	1.9585
58.3	1.7676
58.6	1.5637
58.95	1.337
59.25	1.214
59.55	1.2302
59.85	1.3745
60.2	1.6076
60.5	1.8099
60.8	1.9971
61.15	2.1912
61.45	2.3366
61.75	2.4638
62.05	2.5738
62.4	2.6821
62.7	2.7588
63	2.8214
63.3	2.8705
63.65	2.9113
63.95	2.9325
64.25	2.9413
64.6	2.9358
64.9	2.9177
65.2	2.8869
65.5	2.8433
65.85	2.7756
66.15	2.7025
66.45	2.6147
66.75	2.5114
67.1	2.3699
67.4	2.2293
67.7	2.0696
68.05	1.8588
68.35	1.6598
68.65	1.4555
68.95	1.2799
69.3	1.2036
69.6	1.2959
69.9	1.4776
70.2	1.6827
70.55	1.9116
70.85	2.0887
71.15	2.2462
71.45	2.3848
71.8	2.5239
72.1	2.6253
72.4	2.7113
72.75	2.7932
73.05	2.8485
73.35	2.8906
73.65	2.9198
74	2.938
74.3	2.9401
74.6	2.9299
74.9	2.9071
75.25	2.8645
75.55	2.8138
75.85	2.7496
76.2	2.6567
76.5	2.5608
76.8	2.4488
77.1	2.3196
77.45	2.1456
77.75	1.9755
78.05	1.7865
78.35	1.5836
78.7	1.3541
79	1.2212
79.3	1.2225
79.6	1.3572
79.95	1.5874
80.25	1.7904
80.55	1.9792
80.9	2.1753
81.2	2.3225
81.5	2.4513
81.8	2.5628
82.15	2.6728
82.45	2.7508
82.75	2.8147
83.05	2.865
83.4	2.9072
83.7	2.9296
84	2.9395
84.35	2.9354
84.65	2.9184
84.95	2.8889
85.25	2.8464
85.6	2.7802
85.9	2.7084
86.2	2.622
86.5	2.5202
86.85	2.3806
87.15	2.2417
87.45	2.0838
87.75	1.9065
88.1	1.6775
88.4	1.4731
88.7	1.293
89.05	1.2029
89.35	1.2834
89.65	1.46
89.95	1.6644
90.3	1.8946
90.6	2.0732
90.9	2.2323
91.2	2.3724
91.55	2.5133
91.85	2.616
92.15	2.7032
92.5	2.7866
92.8	2.843
93.1	2.8861
93.4	2.9164
93.75	2.9358
94.05	2.939
94.35	2.9298
94.65	2.908
95	2.8667
95.3	2.8171
95.6	2.754
95.9	2.6768
96.25	2.5679
96.55	2.4573
96.85	2.3296
97.2	2.1575
97.5	1.9891
97.8	1.8017
98.1	1.5996
98.45	1.3684
98.75	1.2281
99.05	1.2174
99.35	1.3436
99.7	1.571
100	1.7744
