r	ueq	ueff
1.01	0.620669	3.153245
1.03	0.51926	2.722793
1.05	0.428801	2.319812
1.07	0.348112	1.942328
1.09	0.276153	1.588544
1.11	0.212001	1.256824
1.13	0.154836	0.945678
1.15	0.103933	0.65374
1.17	0.058645	0.379763
1.19	0.018397	0.122604
1.21	-0.017325	-0.118788
1.23	-0.048979	-0.345378
1.25	-0.076973	-0.558056
1.27	-0.101675	-0.75764
1.29	-0.123412	-0.944888
1.31	-0.142477	-1.120498
1.33	-0.159136	-1.285117
1.35	-0.173624	-1.439345
1.37	-0.186156	-1.583738
1.39	-0.196922	-1.718812
1.41	-0.206095	-1.845046
1.43	-0.213832	-1.962888
1.45	-0.220271	-2.072753
1.47	-0.225541	-2.175029
1.49	-0.229756	-2.270079
1.51	-0.233018	-2.35824
1.53	-0.235423	-2.439829
1.55	-0.237054	-2.515142
1.57	-0.237988	-2.584456
1.59	-0.238295	-2.648031
1.61	-0.238038	-2.706111
1.63	-0.237274	-2.758925
1.65	-0.236054	-2.806688
1.67	-0.234427	-2.849602
1.69	-0.232434	-2.887859
1.71	-0.230115	-2.921636
1.73	-0.227505	-2.951105
1.75	-0.224636	-2.976423
1.77	-0.221536	-2.997743
1.79	-0.218234	-3.015204
1.81	-0.214752	-3.028944
1.83	-0.211112	-3.039087
1.85	-0.207335	-3.045755
1.87	-0.203439	-3.049061
1.89	-0.19944	-3.049114
1.91	-0.195353	-3.046015
1.93	-0.191191	-3.039861
1.95	-0.186968	-3.030745
1.97	-0.182693	-3.018754
1.99	-0.178379	-3.00397
2.01	-0.174033	-2.986473
2.03	-0.169664	-2.966338
2.05	-0.16528	-2.943636
2.07	-0.160888	-2.918435
2.09	-0.156493	-2.8908
2.11	-0.152102	-2.860792
2.13	-0.147719	-2.828471
2.15	-0.14335	-2.793892
2.17	-0.138998	-2.757108
2.19	-0.134667	-2.718172
2.21	-0.13036	-2.677131
2.23	-0.126081	-2.634032
2.25	-0.121832	-2.58892
2.27	-0.117615	-2.541838
2.29	-0.113432	-2.492825
2.31	-0.109286	-2.441921
2.33	-0.105177	-2.389164
2.35	-0.101108	-2.334588
2.37	-0.09708	-2.278229
2.39	-0.093093	-2.220119
2.41	-0.089149	-2.160289
2.43	-0.085248	-2.09877
2.45	-0.081391	-2.03559
2.47	-0.077579	-1.970778
2.49	-0.073811	-1.904359
2.51	-0.070089	-1.836361
2.53	-0.066412	-1.766806
2.55	-0.062781	-1.695718
2.57	-0.059196	-1.623122
2.59	-0.055656	-1.549037
2.61	-0.052162	-1.473486
2.63	-0.048713	-1.396488
2.65	-0.04531	-1.318063
2.67	-0.041952	-1.23823
2.69	-0.038638	-1.157006
2.71	-0.03537	-1.074409
2.73	-0.032146	-0.990457
2.75	-0.028965	-0.905163
2.77	-0.025828	-0.818546
2.79	-0.022735	-0.730618
2.81	-0.019684	-0.641396
2.83	-0.016676	-0.550892
2.85	-0.013709	-0.459121
2.87	-0.010784	-0.366095
2.89	-0.0079	-0.271826
2.91	-0.005056	-0.176328
2.93	-0.002253	-0.079611
2.95	0.000511	0.018313
2.97	0.003237	0.117433
2.99	0.005923	0.217739
3.01	0.008572	0.31922
3.03	0.011183	0.421866
3.05	0.013757	0.525669
3.07	0.016295	0.630618
3.09	0.018797	0.736705
3.11	0.021264	0.843921
3.13	0.023695	0.952258
3.15	0.026093	1.061707
3.17	0.028456	1.172261
3.19	0.030786	1.283912
