t	dE	errPct
0	0.00000022	0.000012
0.3	0.00008949	0.004979
0.65	0.00000720	0.000401
0.95	-0.00019330	0.010756
1.25	-0.00038340	0.021333
1.55	-0.00056929	0.031676
1.9	-0.00078936	0.043921
2.2	-0.00096684	0.053796
2.5	-0.00114747	0.063847
2.8	-0.00106529	0.059274
3.15	-0.00088601	0.049299
3.45	-0.00038501	0.021422
3.75	0.00051479	0.028644
4.1	0.00051388	0.028593
4.4	-0.00137732	0.076636
4.7	-0.00185850	0.103410
5	-0.00091323	0.050813
5.35	-0.00016782	0.009338
5.65	0.00006255	0.003480
5.95	0.00011729	0.006526
6.25	-0.00004032	0.002243
6.6	-0.00024968	0.013893
6.9	-0.00041774	0.023244
7.2	-0.00065046	0.036192
7.5	-0.00081997	0.045624
7.85	-0.00101912	0.056705
8.15	-0.00115380	0.064199
8.45	-0.00111851	0.062236
8.8	-0.00078839	0.043867
9.1	0.00000876	0.000487
9.4	0.00076314	0.042462
9.7	0.00026372	0.014674
10.05	-0.00189642	0.105520
10.35	-0.00160694	0.089412
10.65	-0.00068843	0.038305
10.95	-0.00010953	0.006094
11.3	0.00004961	0.002761
11.6	0.00010128	0.005635
11.9	-0.00009563	0.005321
12.25	-0.00026268	0.014616
12.55	-0.00047259	0.026296
12.85	-0.00069068	0.038430
13.15	-0.00086874	0.048338
13.5	-0.00107137	0.059613
13.8	-0.00112156	0.062405
14.1	-0.00101345	0.056390
14.4	-0.00060633	0.033737
14.75	0.00026256	0.014609
15.05	0.00078211	0.043518
15.35	-0.00059999	0.033384
15.65	-0.00185622	0.103283
16	-0.00124390	0.069212
16.3	-0.00044842	0.024951
16.6	0.00001462	0.000813
16.95	0.00009923	0.005521
17.25	0.00001511	0.000841
17.55	-0.00014906	0.008294
17.85	-0.00035066	0.019511
18.2	-0.00055085	0.030650
18.5	-0.00075813	0.042184
18.8	-0.00097094	0.054025
19.1	-0.00112888	0.062812
19.45	-0.00106437	0.059223
19.75	-0.00093912	0.052254
20.05	-0.00042732	0.023777
20.4	0.00067832	0.037742
20.7	0.00065946	0.036693
21	-0.00115871	0.064472
21.3	-0.00191597	0.106607
21.65	-0.00092649	0.051551
21.95	-0.00017524	0.009751
22.25	0.00003511	0.001954
22.55	0.00012770	0.007105
22.9	-0.00003489	0.001941
23.2	-0.00024424	0.013590
23.5	-0.00043214	0.024045
23.8	-0.00059280	0.032984
24.15	-0.00084781	0.047173
24.45	-0.00098257	0.054672
24.75	-0.00113114	0.062938
25.1	-0.00110847	0.061677
25.4	-0.00075693	0.042117
25.7	-0.00007009	0.003900
26	0.00081950	0.045598
26.35	0.00007118	0.003960
26.65	-0.00184748	0.102796
26.95	-0.00164196	0.091361
27.25	-0.00072265	0.040209
27.6	-0.00003585	0.001995
27.9	0.00006040	0.003360
28.2	0.00005282	0.002939
28.55	-0.00005653	0.003145
28.85	-0.00029364	0.016339
29.15	-0.00047281	0.026308
29.45	-0.00068049	0.037863
29.8	-0.00095591	0.053188
30.1	-0.00106227	0.059106
30.4	-0.00114038	0.063453
30.7	-0.00104505	0.058148
31.05	-0.00057888	0.032210
31.35	0.00019068	0.010610
31.65	0.00085698	0.047683
31.95	-0.00029243	0.016271
32.3	-0.00186736	0.103903
32.6	-0.00128362	0.071423
32.9	-0.00043168	0.024019
33.25	-0.00005051	0.002811
33.55	0.00013931	0.007751
33.85	0.00005834	0.003246
34.15	-0.00016124	0.008972
34.5	-0.00034578	0.019240
34.8	-0.00053049	0.029517
35.1	-0.00081627	0.045418
35.4	-0.00097567	0.054288
35.75	-0.00107792	0.059977
36.05	-0.00107666	0.059907
36.35	-0.00099786	0.055522
36.7	-0.00029963	0.016672
37	0.00050514	0.028107
37.3	0.00077795	0.043286
37.6	-0.00102275	0.056907
37.95	-0.00185951	0.103466
38.25	-0.00092938	0.051712
38.55	-0.00027765	0.015449
38.85	0.00009020	0.005019
39.2	0.00003702	0.002060
39.5	-0.00000819	0.000455
39.8	-0.00018978	0.010559
40.15	-0.00044804	0.024930
40.45	-0.00060490	0.033657
40.75	-0.00084345	0.046931
41.05	-0.00097755	0.054392
41.4	-0.00119503	0.066493
41.7	-0.00111607	0.062100
42	-0.00086700	0.048241
42.3	-0.00020775	0.011560
42.65	0.00082580	0.045949
42.95	0.00016770	0.009331
43.25	-0.00165029	0.091824
43.55	-0.00166090	0.092415
43.9	-0.00060826	0.033844
44.2	-0.00009190	0.005113
44.5	0.00007693	0.004281
44.85	0.00004941	0.002749
45.15	-0.00010256	0.005706
45.45	-0.00023948	0.013325
