t	r
0	1.2
0.3	1.339
0.65	1.4679
0.95	1.5454
1.25	1.5902
1.55	1.6013
1.9	1.5713
2.2	1.5094
2.5	1.4157
2.8	1.2931
3.15	1.1204
3.45	0.9584
3.75	0.8039
4.1	0.6813
4.4	0.6749
4.7	0.7654
5	0.9119
5.35	1.1011
5.65	1.253
5.95	1.3832
6.25	1.4856
6.6	1.5655
6.9	1.5982
7.2	1.5969
7.5	1.5618
7.85	1.479
8.15	1.3744
8.45	1.2423
8.8	1.0623
9.1	0.9
9.4	0.7561
9.7	0.6717
10.05	0.6982
10.35	0.8145
10.65	0.9705
10.95	1.1321
11.3	1.3031
11.6	1.4238
11.9	1.5151
12.25	1.5813
12.55	1.6017
12.85	1.5881
13.15	1.5408
13.5	1.4445
13.8	1.3294
14.1	1.1888
14.4	1.0304
14.75	0.8439
15.05	0.7161
15.35	0.6646
15.65	0.7156
16	0.8687
16.3	1.0297
16.6	1.1881
16.95	1.35
17.25	1.4604
17.55	1.5405
17.85	1.5879
18.2	1.6007
18.5	1.5748
18.8	1.5155
19.1	1.4242
19.45	1.2811
19.75	1.1328
20.05	0.9712
20.4	0.7917
20.7	0.6862
21	0.6715
21.3	0.7556
21.65	0.926
21.95	1.0885
22.25	1.2417
22.55	1.3739
22.9	1.4931
23.2	1.5615
23.5	1.5968
23.8	1.5983
24.15	1.5571
24.45	1.486
24.75	1.3837
25.1	1.2296
25.4	1.075
25.7	0.9126
26	0.7659
26.35	0.6687
26.65	0.6921
26.95	0.8033
27.25	0.9577
27.6	1.1459
27.9	1.2925
28.2	1.4152
28.55	1.5217
28.85	1.5782
29.15	1.6013
29.45	1.5904
29.8	1.535
30.1	1.4524
30.4	1.3395
30.7	1.2006
31.05	1.0161
31.35	0.8559
31.65	0.724
31.95	0.6649
32.3	0.7244
32.6	0.8565
32.9	1.0169
33.25	1.2013
33.55	1.3401
33.85	1.4528
34.15	1.5353
34.5	1.5905
34.8	1.6013
35.1	1.578
35.4	1.5213
35.75	1.4148
36.05	1.2919
36.35	1.1452
36.7	0.957
37	0.8027
37.3	0.6917
37.6	0.6688
37.95	0.7665
38.25	0.9133
38.55	1.0758
38.85	1.2303
39.2	1.3842
39.5	1.4864
39.8	1.5573
40.15	1.5983
40.45	1.5968
40.75	1.5613
41.05	1.4928
41.4	1.3733
41.7	1.2411
42	1.0878
42.3	0.9253
42.65	0.755
42.95	0.6714
43.25	0.6865
43.55	0.7923
43.9	0.972
44.2	1.1335
44.5	1.2817
44.85	1.4247
45.15	1.5158
45.45	1.575
45.75	1.6007
46.1	1.5878
46.4	1.5402
46.7	1.46
47	1.3494
47.35	1.1874
47.65	1.029
47.95	0.868
48.3	0.7152
48.6	0.6646
48.9	0.7165
49.2	0.8446
49.55	1.0312
49.85	1.1894
50.15	1.33
50.45	1.4449
50.8	1.541
51.1	1.5882
51.4	1.6016
51.7	1.5811
52.05	1.5148
52.35	1.4233
52.65	1.3025
53	1.1314
53.3	0.9698
53.6	0.8138
53.9	0.6978
54.25	0.6719
54.55	0.7566
54.85	0.9007
55.15	1.063
55.5	1.243
55.8	1.3749
56.1	1.4794
56.45	1.562
56.75	1.597
57.05	1.5981
57.35	1.5653
57.7	1.4852
58	1.3827
58.3	1.2524
58.6	1.1004
58.95	0.9112
59.25	0.7648
59.55	0.6747
59.85	0.6815
60.2	0.8045
60.5	0.9591
60.8	1.1211
61.15	1.2937
61.45	1.4162
61.75	1.5098
62.05	1.5715
62.4	1.6013
62.7	1.5901
63	1.5452
63.3	1.4675
63.65	1.3384
63.95	1.1993
64.25	1.0419
64.6	0.8545
64.9	0.7231
65.2	0.6648
65.5	0.709
65.85	0.8579
66.15	1.0183
66.45	1.1774
66.75	1.3197
67.1	1.4536
67.4	1.5359
67.7	1.5857
68.05	1.6012
68.35	1.5777
68.65	1.5207
68.95	1.4316
69.3	1.2907
69.6	1.1438
69.9	0.9827
70.2	0.8253
70.55	0.6911
70.85	0.6691
71.15	0.7471
71.45	0.8883
71.8	1.0772
72.1	1.2315
72.4	1.3654
72.75	1.4871
73.05	1.5578
73.35	1.5955
73.65	1.5993
74	1.5608
74.3	1.492
74.6	1.3918
74.9	1.2636
75.25	1.0863
75.55	0.9239
75.85	0.7749
76.2	0.671
76.5	0.6871
76.8	0.7935
77.1	0.9463
77.45	1.1349
77.75	1.2829
78.05	1.4075
78.35	1.5035
78.7	1.5753
79	1.6008
