x	y
1.2	0
1.3159	0.2474
1.3723	0.521
1.3603	0.7334
1.2979	0.9189
1.1896	1.072
1.0109	1.2029
0.818	1.2685
0.5936	1.2852
0.3438	1.2465
0.0313	1.1199
-0.239	0.9281
-0.4828	0.6428
-0.6563	0.183
-0.6221	-0.2617
-0.4208	-0.6393
-0.1369	-0.9016
0.2155	-1.0798
0.5034	-1.1475
0.7645	-1.1527
0.9918	-1.1061
1.2072	-0.9967
1.3449	-0.8634
1.4354	-0.6998
1.4756	-0.5115
1.4544	-0.2688
1.3735	-0.0488
1.2302	0.1733
0.9764	0.4185
0.6768	0.5933
0.2984	0.6947
-0.1321	0.6586
-0.5761	0.3944
-0.8127	0.0543
-0.9233	-0.299
-0.9438	-0.6254
-0.888	-0.9537
-0.7907	-1.184
-0.6595	-1.3641
-0.4749	-1.5083
-0.2978	-1.5737
-0.1103	-1.5842
0.0812	-1.5386
0.3003	-1.413
0.4749	-1.2417
0.6263	-1.0104
0.7392	-0.7179
0.788	-0.3021
0.7093	0.0981
0.4706	0.4692
0.101	0.7085
-0.3605	0.7903
-0.7116	0.7443
-1.0043	0.6348
-1.2696	0.4588
-1.4327	0.2835
-1.5375	0.0963
-1.5851	-0.0945
-1.5698	-0.3126
-1.4972	-0.4882
-1.3708	-0.6463
-1.1919	-0.7796
-0.9193	-0.8922
-0.6338	-0.9389
-0.3061	-0.9217
0.1093	-0.7841
0.4426	-0.5244
0.658	-0.1342
0.6957	0.2947
0.5726	0.7277
0.3935	1.0148
0.1842	1.228
-0.0358	1.3734
-0.2903	1.4646
-0.4968	1.4804
-0.6854	1.4423
-0.85	1.3535
-1.004	1.1901
-1.0966	1.0027
-1.1458	0.7757
-1.1373	0.4674
-1.0608	0.1745
-0.9032	-0.1307
-0.6419	-0.4178
-0.1915	-0.6407
0.2531	-0.6441
0.6395	-0.4861
0.9256	-0.2457
1.1439	0.0668
1.2491	0.3322
1.2904	0.5811
1.2689	0.8399
1.1978	1.0277
1.0838	1.1788
0.9318	1.2888
0.7133	1.3593
0.4967	1.3648
0.2598	1.3141
0.0106	1.2006
-0.2789	0.9771
-0.5005	0.6942
-0.6502	0.3185
-0.6538	-0.1211
-0.4315	-0.5819
-0.1288	-0.8468
0.1952	-0.9979
0.553	-1.0665
0.8256	-1.0555
1.0594	-0.9941
1.2498	-0.8917
1.4128	-0.7304
1.4987	-0.5638
1.5323	-0.3773
1.511	-0.1774
1.4133	0.0639
1.2638	0.268
1.0495	0.4582
0.7122	0.6392
0.3462	0.7242
-0.0717	0.688
-0.4655	0.4803
-0.7626	0.0774
-0.8643	-0.2951
-0.867	-0.6369
-0.8034	-0.9317
-0.6724	-1.2099
-0.5265	-1.39
-0.3597	-1.5152
-0.1487	-1.5914
0.0383	-1.5963
0.2239	-1.5452
0.4014	-1.4378
0.5879	-1.2411
0.7192	-1.0114
0.8102	-0.7257
0.8404	-0.387
0.7529	0.057
0.5219	0.4224
0.1515	0.6696
-0.2617	0.7479
-0.6921	0.6824
-0.9909	0.5504
-1.2239	0.3806
-1.4159	0.1578
-1.5152	-0.0414
-1.5567	-0.2392
-1.5423	-0.4285
-1.4574	-0.6301
-1.3286	-0.7791
-1.1503	-0.8991
-0.9252	-0.9824
-0.6079	-1.02
-0.296	-0.9855
0.0395	-0.8671
0.415	-0.5825
0.634	-0.1992
0.6755	0.239
0.5636	0.629
0.3331	0.9759
0.1014	1.1851
-0.1373	1.3229
-0.3698	1.3968
-0.6214	1.4102
-0.8126	1.3645
-0.9752	1.2705
-1.1037	1.1321
-1.2036	0.9198
-1.2395	0.6995
-1.2226	0.4494
-1.124	0.13
-0.9576	-0.1533
-0.6975	-0.4194
-0.3299	-0.6149
0.1864	-0.6455
0.584	-0.481
0.8734	-0.2201
1.0607	0.0699
1.1762	0.402
1.204	0.664
1.177	0.8963
1.0867	1.122
0.9659	1.2717
0.8113	1.3769
0.6281	1.4338
0.3861	1.4341
0.1617	1.3732
-0.0698	1.2504
-0.2971	1.0595
-0.532	0.7398
-0.6664	0.3752
-0.6725	-0.0545
-0.4984	-0.4649
-0.1356	-0.793
0.2093	-0.936
0.5356	-0.9849
0.8704	-0.957
1.1102	-0.8792
1.3025	-0.7634
1.4448	-0.6181
1.5451	-0.4207
1.5726	-0.2352
1.5446	-0.0413
1.4594	0.1542
1.2852	0.3735
1.0695	0.5427
0.7903	0.6789
0.3839	0.7634
-0.0188	0.7228
-0.4106	0.5229
-0.6863	0.1779
-0.8118	-0.2773
-0.7967	-0.6342
-0.7119	-0.9378
-0.5826	-1.1842
-0.3959	-1.3987
-0.2175	-1.5204
-0.0307	-1.5854
0.1881	-1.5901
0.3691	-1.5339
0.5369	-1.4228
0.6842	-1.2575
0.8187	-0.9978
0.889	-0.7198
0.8999	-0.3947
0.8246	-0.034
0.5758	0.3822
0.2096	0.6354
-0.2157	0.7153
-0.6037	0.6515
-0.966	0.4767
-1.1982	0.2847
-1.3633	0.0761
-1.4772	-0.1716
-1.5114	-0.3772
-1.4905	-0.5692
-1.4171	-0.7413
-1.2689	-0.9089
-1.0917	-1.017
-0.8716	-1.0852
-0.6128	-1.105
-0.2705	-1.0521
0.0444	-0.9228
0.3515	-0.6906
0.616	-0.2663
0.6641	0.1764
0.5429	0.5788
0.3273	0.8879
0.0323	1.1344
-0.2254	1.2629
-0.472	1.326
-0.6984	1.3314
