r	vr
1.2	0
1.2757	0.4626
1.4851	0.6764
1.6912	0.6822
1.889	0.6326
2.0691	0.5683
2.2544	0.4923
2.3926	0.4307
2.513	0.3733
2.6167	0.3197
2.7181	0.2612
2.7892	0.214
2.8465	0.1688
2.8965	0.118
2.9254	0.0757
2.9418	0.0341
2.9457	-0.0072
2.9346	-0.0555
2.9116	-0.0974
2.8759	-0.1402
2.8272	-0.1843
2.7532	-0.2379
2.6745	-0.2864
2.5809	-0.3377
2.4713	-0.3925
2.3218	-0.4614
2.1738	-0.5247
2.0064	-0.5902
1.7869	-0.6604
1.5831	-0.6895
1.3827	-0.6219
1.2335	-0.3308
1.221	0.2594
1.3572	0.5953
1.5544	0.6887
1.7595	0.6684
1.982	0.6005
2.1522	0.5348
2.3028	0.4709
2.455	0.4011
2.5668	0.3457
2.6625	0.2938
2.7431	0.2449
2.8192	0.1908
2.8696	0.1465
2.907	0.1036
2.9316	0.0615
2.9446	0.0132
2.9422	-0.0281
2.9275	-0.0697
2.9002	-0.1118
2.8521	-0.1623
2.7966	-0.2072
2.7273	-0.2541
2.6282	-0.312
2.5266	-0.365
2.4086	-0.4218
2.2729	-0.4825
2.0907	-0.5578
1.9134	-0.6225
1.718	-0.6754
1.5125	-0.6821
1.2959	-0.5089
1.2023	-0.0814
1.2561	0.4065
1.4544	0.6642
1.6596	0.6857
1.8593	0.6411
2.0422	0.5779
2.2309	0.5017
2.3718	0.4396
2.4947	0.3816
2.6009	0.3274
2.7049	0.2684
2.7781	0.2208
2.8373	0.1754
2.8832	0.1316
2.9205	0.082
2.9387	0.0403
2.9444	-0.0011
2.9355	-0.0493
2.9144	-0.0911
2.8805	-0.1338
2.8338	-0.1776
2.7622	-0.2309
2.6856	-0.279
2.5943	-0.3299
2.4871	-0.3842
2.3407	-0.4523
2.1955	-0.5151
2.0311	-0.5804
1.8148	-0.6522
1.6126	-0.6881
1.4101	-0.6408
1.2493	-0.3894
1.2117	0.1886
1.3324	0.5635
1.5248	0.684
1.7303	0.6739
1.9554	0.6092
2.1283	0.5438
2.2815	0.4795
2.416	0.4188
2.5508	0.3532
2.6487	0.3008
2.7313	0.2515
2.8096	0.1971
2.8619	0.1526
2.9011	0.1095
2.9275	0.0673
2.9425	0.0189
2.9418	-0.0224
2.9288	-0.0639
2.9033	-0.1059
2.8573	-0.1562
2.8037	-0.2009
2.7363	-0.2475
2.6396	-0.3049
2.5402	-0.3575
2.4245	-0.4136
2.2914	-0.4738
2.1124	-0.5486
1.9378	-0.6135
1.7448	-0.6691
1.54	-0.6853
1.3174	-0.5442
1.2074	-0.151
1.2411	0.3515
1.4279	0.6499
1.6317	0.6874
1.8329	0.6481
2.0182	0.5862
2.2098	0.5099
2.3531	0.4474
2.4783	0.3889
2.5865	0.3342
2.6928	0.2748
2.7679	0.2269
2.829	0.1812
2.8766	0.1372
2.9157	0.0874
2.9356	0.0457
2.9429	0.0043
2.9359	-0.0439
2.9163	-0.0857
2.8842	-0.1282
2.8391	-0.1719
2.7696	-0.2249
2.6949	-0.2727
2.6055	-0.3231
2.5004	-0.3769
2.3567	-0.4445
2.214	-0.5067
2.0521	-0.5717
1.8387	-0.6447
1.6382	-0.6855
1.4344	-0.6538
1.2651	-0.4353
1.2062	0.1244
1.3121	0.5311
1.4992	0.6776
1.7046	0.6779
1.9319	0.6166
2.1071	0.5516
2.2626	0.487
2.3993	0.4259
2.5365	0.3597
2.6362	0.307
2.7207	0.2573
2.801	0.2026
2.8549	0.1579
2.8956	0.1146
2.9235	0.0724
2.9402	0.0239
2.9411	-0.0174
2.9296	-0.0589
2.9055	-0.1008
2.8614	-0.151
2.8094	-0.1954
2.7437	-0.2418
2.6491	-0.2988
2.5516	-0.3509
2.4379	-0.4067
2.3069	-0.4663
2.1306	-0.5406
1.9585	-0.6057
1.7676	-0.6631
1.5637	-0.6864
1.337	-0.5703
1.214	-0.2086
1.2302	0.3003
1.3745	0.6092
1.6076	0.6877
1.8099	0.6538
1.9971	0.5932
2.1912	0.517
2.3366	0.4541
2.4638	0.3951
2.5738	0.3401
2.6821	0.2803
2.7588	0.2321
2.8214	0.1862
2.8705	0.142
2.9113	0.0921
2.9325	0.0503
2.9413	0.0089
2.9358	-0.0393
2.9177	-0.081
2.8869	-0.1234
2.8433	-0.167
2.7756	-0.2197
2.7025	-0.2672
2.6147	-0.3174
2.5114	-0.3708
2.3699	-0.4378
2.2293	-0.4995
2.0696	-0.5643
1.8588	-0.638
1.6598	-0.6824
1.4555	-0.6624
1.2799	-0.4705
1.2036	0.0685
1.2959	0.4999
1.4776	0.6702
