x	y
1.2	0
0.6918	1.0719
-0.5186	1.3916
-1.3783	0.98
-1.8678	0.2825
-2.0135	-0.4767
-1.8525	-1.2848
-1.5174	-1.8499
-1.0658	-2.2758
-0.5461	-2.5591
0.0961	-2.7164
0.6439	-2.7139
1.165	-2.5971
1.715	-2.3342
2.1199	-2.016
2.4508	-1.6272
2.6979	-1.1827
2.8696	-0.6143
2.9098	-0.1032
2.8463	0.4115
2.6764	0.9108
2.3434	1.4453
1.9455	1.8353
1.4515	2.134
0.8757	2.311
0.1333	2.318
-0.516	2.1117
-1.1054	1.6745
-1.5686	0.8559
-1.5823	-0.0497
-1.0398	-0.9115
0.0494	-1.2325
1.1534	-0.4007
1.1344	0.7451
0.4266	1.4948
-0.4675	1.6963
-1.378	1.4246
-1.9366	0.9388
-2.2771	0.343
-2.424	-0.3892
-2.3674	-0.992
-2.1732	-1.5382
-1.8694	-2.0076
-1.4101	-2.4412
-0.9532	-2.7067
-0.4602	-2.8704
0.0495	-2.9312
0.6409	-2.874
1.1252	-2.7186
1.571	-2.4702
1.962	-2.1357
2.3273	-1.6487
2.5439	-1.1617
2.6544	-0.6266
2.628	0.0319
2.4555	0.5955
2.1315	1.1215
1.6502	1.563
0.8992	1.8875
0.1332	1.9088
-0.6481	1.5911
-1.2434	0.8611
-1.2397	-0.3776
-0.3486	-1.1506
0.827	-0.9454
1.4449	0.1661
1.2312	1.1128
0.6399	1.7458
-0.0867	2.0404
-0.9204	2.0322
-1.5426	1.8016
-2.0452	1.4286
-2.4164	0.9621
-2.6818	0.3523
-2.7715	-0.1908
-2.7429	-0.7261
-2.6062	-1.2332
-2.3257	-1.7664
-1.9958	-2.157
-1.5973	-2.4735
-1.0645	-2.7357
-0.5672	-2.8586
-0.0498	-2.8801
0.4693	-2.7946
1.0496	-2.555
1.4984	-2.2288
1.8738	-1.7941
2.1443	-1.2601
2.2786	-0.5357
2.1915	0.1336
1.873	0.7856
1.1679	1.3891
0.2984	1.5847
-0.6462	1.2533
-1.2155	0.2889
-0.6985	-0.9901
0.4282	-1.2617
1.3352	-0.7363
1.7268	0.1093
1.6373	1.0691
1.259	1.7159
0.7283	2.1622
0.1289	2.4126
-0.5814	2.4837
-1.1559	2.3832
-1.6717	2.16
-2.1768	1.7764
-2.5141	1.3674
-2.756	0.9061
-2.8984	0.412
-2.9369	-0.1816
-2.861	-0.6848
-2.6874	-1.1645
-2.4201	-1.6037
-1.9989	-2.0417
-1.5543	-2.3333
-1.0459	-2.5286
-0.3947	-2.61
0.1866	-2.5334
0.7557	-2.3037
1.2689	-1.9079
1.716	-1.2319
1.8746	-0.4912
1.7142	0.3252
1.1303	1.0459
-0.0598	1.316
-1.0192	0.6473
-1.1144	-0.5464
-0.166	-1.4182
0.8201	-1.4106
1.5681	-0.949
1.9984	-0.2817
2.1405	0.5489
2.0197	1.2074
1.7346	1.77
1.3336	2.2162
0.7725	2.5797
0.2487	2.7567
-0.2863	2.8144
-0.8102	2.7601
-1.3823	2.5672
-1.8207	2.3027
-2.1964	1.9588
-2.5391	1.4739
-2.7387	1.0023
-2.8413	0.4954
-2.8389	-0.0298
-2.6948	-0.6392
-2.4453	-1.1326
-2.0784	-1.5712
-1.598	-1.9231
-0.9103	-2.1738
-0.2413	-2.2008
0.4496	-2.0022
1.1625	-1.4247
1.5164	-0.6198
1.389	0.3582
0.5879	1.1202
-0.7733	0.9257
-1.3071	-0.1142
-0.9873	-1.1282
-0.2264	-1.6895
0.7455	-1.7823
1.457	-1.5221
1.9927	-1.0717
2.3426	-0.5184
2.5304	0.1751
2.5239	0.7615
